Timestamp,How often do you feel anxious or worried about things in your daily life?,How often do you feel overwhelmed by responsibilities or expectations?,How often do you feel nervous when speaking in front of a group of people? ,How do you maintain the balance in your life?,How often do you feel motivated to take steps toward achieving your personal goals?”,How confident are you in overcoming challenges in life?,How often do you spend time on social media?,How often do you procrastinate(Postpone) important tasks?,How confident are you in understanding course subjects?,"How well you behave in a group of people(outside crowds, relatives, functions, etc)",How often do you feel supported by your friends or family?,Department,Year,Do you learn anything from social media that help with your studies or life ?
3/9/2026 18:20:58,Always,Sometimes,Sometimes,Always,Very motivated,Moderately confident,Always,Rarely,Moderately confident,Satisfied,Always,AIML,II,Yes
3/9/2026 18:21:15,Often,Sometimes,Often,Often,Very motivated,Very confident,Always,Sometimes,Very confident,Satisfied,Always,AIML,II,Yes
3/9/2026 18:23:47,Always,Always,Always,Sometimes,Moderately motivated,Moderately confident,Always,Always,Moderately confident,Neutral,Often,Data Science,II,No
3/9/2026 18:28:30,Sometimes,Sometimes,Rarely,Sometimes,Moderately motivated,Moderately confident,Often,Rarely,Very confident,Satisfied,Sometimes,AIML,II,Yes
3/9/2026 18:32:30,Sometimes,Sometimes,Often,Sometimes,Slightly motivated,Moderately confident,Often,Often,Moderately confident,Neutral,Sometimes,Data Science,III,Yes
3/9/2026 18:37:19,Sometimes,Sometimes,Rarely,Sometimes,Very motivated,Moderately confident,Often,Rarely,Very confident,Neutral,Sometimes,AIML,II,Yes
3/9/2026 18:51:54,Sometimes,Rarely,Often,Sometimes,Very motivated,Very confident,Often,Sometimes,Moderately confident,Very satisfied,Always,Data Science,III,Yes
3/9/2026 18:52:27,Sometimes,Often,Rarely,Rarely,Not motivated at all,Moderately confident,Rarely,Never,Not confident at all,Very dissatisfied,Never,Data Science,II,No
3/9/2026 18:54:13,Always,Always,Rarely,Often,Moderately motivated,Moderately confident,Sometimes,Sometimes,Moderately confident,Neutral,Often,Data Science,II,Yes
3/9/2026 18:54:22,Sometimes,Often,Always,Sometimes,Very motivated,Very confident,Rarely,Often,Moderately confident,Satisfied,Always,AIML,II,Yes
3/9/2026 19:03:56,Sometimes,Sometimes,Often,Often,Very motivated,Moderately confident,Rarely,Sometimes,Very confident,Very satisfied,Sometimes,AIML,II,Yes
3/9/2026 19:10:51,Often,Often,Often,Sometimes,Moderately motivated,Moderately confident,Rarely,Sometimes,Moderately confident,Satisfied,Always,AIML,III,Yes
3/9/2026 19:19:16,Often,Sometimes,Often,Sometimes,Extremely motivated,Very confident,Often,Never,Moderately confident,Neutral,Always,AIML,II,Yes
3/9/2026 19:20:39,Sometimes,Sometimes,Often,Sometimes,Moderately motivated,Moderately confident,Sometimes,Sometimes,Moderately confident,Neutral,Always,AIML,II,Yes
3/9/2026 19:23:54,Always,Sometimes,Always,Often,Slightly motivated,Very confident,Often,Often,Moderately confident,Neutral,Always,AIML,II,Yes
3/9/2026 19:24:50,Sometimes,Sometimes,Always,Often,Very motivated,Very confident,Sometimes,Sometimes,Very confident,Satisfied,Always,AIML,III,Yes
3/9/2026 19:33:50,Sometimes,Sometimes,Rarely,Often,Moderately motivated,Moderately confident,Often,Sometimes,Moderately confident,Neutral,Often,AIML,II,No
3/9/2026 19:45:04,Always,Always,Always,Always,Extremely motivated,Extremely confident,Always,Always,Not confident at all,Very dissatisfied,Always,AIML,II,No
3/9/2026 19:59:34,Sometimes,Often,Always,Often,Moderately motivated,Moderately confident,Always,Sometimes,Moderately confident,Neutral,Always,Data Science,II,No
3/9/2026 20:23:34,Sometimes,Sometimes,Sometimes,Sometimes,Moderately motivated,Moderately confident,Often,Rarely,Moderately confident,Very satisfied,Always,AIML,II,Yes
3/9/2026 20:32:35,Often,Sometimes,Often,Sometimes,Moderately motivated,Very confident,Often,Often,Moderately confident,Neutral,Always,AIML,II,Yes
3/9/2026 20:59:33,Often,Often,Sometimes,Rarely,Not motivated at all,Moderately confident,Often,Sometimes,Slightly confident,Neutral,Sometimes,AIML,II,No
3/9/2026 21:17:06,Rarely,Often,Rarely,Often,Very motivated,Extremely confident,Often,Sometimes,Moderately confident,Satisfied,Often,AIML,II,Yes
3/9/2026 22:38:52,Often,Sometimes,Sometimes,Rarely,Moderately motivated,Very confident,Sometimes,Sometimes,Moderately confident,Neutral,Sometimes,AIML,III,Yes
3/9/2026 23:29:24,Sometimes,Sometimes,Rarely,Often,Very motivated,Moderately confident,Often,Sometimes,Moderately confident,Satisfied,Always,AIML,II,Yes
3/9/2026 23:34:41,Sometimes,Always,Always,Sometimes,Moderately motivated,Moderately confident,Always,Often,Moderately confident,Neutral,Sometimes,AIML,II,Yes
3/10/2026 6:27:15,Sometimes,Sometimes,Rarely,Sometimes,Moderately motivated,Moderately confident,Often,Sometimes,Moderately confident,Neutral,Sometimes,Data Science,II,Yes
3/10/2026 9:43:33,Always,Always,Always,Often,Slightly motivated,Slightly confident,Always,Sometimes,Moderately confident,Neutral,Sometimes,AIML,III,Yes
3/10/2026 10:31:03,Sometimes,Sometimes,Rarely,Sometimes,Moderately motivated,Very confident,Often,Sometimes,Moderately confident,Satisfied,Always,AIML,III,Yes
3/10/2026 19:02:18,Sometimes,Always,Sometimes,Often,Moderately motivated,Very confident,Always,Often,Very confident,Very satisfied,Always,AIML,III,Yes
3/10/2026 20:22:17,Sometimes,Often,Rarely,Always,Very motivated,Extremely confident,Often,Sometimes,Very confident,Satisfied,Always,AIML,II,Yes
